Latitude,Longitude,Comment,Depth,G&G-DO
1134.73264N,12229.35746E,1,0.242,5.689
1134.73264N,12229.35746E,1,0.246,5.691
1134.73264N,12229.35746E,1,0.249,5.691
1134.73264N,12229.35746E,1,0.252,5.695
1134.73264N,12229.35746E,1,0.254,5.693
1134.73264N,12229.35746E,1,0.256,5.692
1134.73264N,12229.35746E,1,0.258,5.691
1134.73264N,12229.35746E,1,0.26,5.69
1134.73264N,12229.35746E,1,0.26,5.688
1134.73264N,12229.35746E,1,0.261,5.693
1134.73264N,12229.35746E,1,0.26,5.693
1134.73264N,12229.35746E,1,0.26,5.696
1134.73264N,12229.35746E,1,0.259,5.697
1134.73264N,12229.35746E,1,0.257,5.695
1134.73264N,12229.35746E,1,0.256,5.695
1134.73264N,12229.35746E,1,0.257,5.696
1134.73264N,12229.35746E,1,0.257,5.7
1134.73264N,12229.35746E,1,0.258,5.697
1134.73264N,12229.35746E,1,0.26,5.697
1134.73264N,12229.35746E,1,0.263,5.698
1134.73264N,12229.35746E,1,0.266,5.697
1134.73264N,12229.35746E,1,0.267,5.699
1134.73264N,12229.35746E,1,0.27,5.699
1134.73264N,12229.35746E,1,0.272,5.698
1134.73264N,12229.35746E,1,0.273,5.698
1134.73264N,12229.35746E,1,0.275,5.701
1134.73264N,12229.35746E,1,0.275,5.697
1134.73264N,12229.35746E,1,0.276,5.699
1134.73264N,12229.35746E,1,0.278,5.698
1134.73264N,12229.35746E,1,0.278,5.703
1134.73264N,12229.35746E,1,0.28,5.703
1134.73264N,12229.35746E,1,0.281,5.701
1134.73264N,12229.35746E,1,0.283,5.7
1134.73264N,12229.35746E,1,0.285,5.699
1134.73264N,12229.35746E,1,0.287,5.699
1134.73264N,12229.35746E,1,0.288,5.699
1134.73264N,12229.35746E,1,0.291,5.699
1134.73264N,12229.35746E,1,0.291,5.702
1134.73264N,12229.35746E,1,0.294,5.702
1134.73264N,12229.35746E,1,0.296,5.696
1134.73264N,12229.35746E,1,0.296,5.701
1134.73264N,12229.35746E,1,0.297,5.7
1134.73264N,12229.35746E,1,0.297,5.7
1134.73264N,12229.35746E,1,0.297,5.706
1134.73264N,12229.35746E,1,0.297,5.706
1134.73264N,12229.35746E,1,0.296,5.703
1134.73264N,12229.35746E,1,0.295,5.704
1134.73264N,12229.35746E,1,0.295,5.706
1134.73264N,12229.35746E,1,0.296,5.702
1134.73264N,12229.35746E,1,0.297,5.704
1134.73264N,12229.35746E,1,0.298,5.701
1134.73264N,12229.35746E,1,0.298,5.701
1134.73264N,12229.35746E,1,0.299,5.705
1134.73264N,12229.35746E,1,0.3,5.703
1134.73264N,12229.35746E,1,0.3,5.703
1134.73264N,12229.35746E,1,0.302,5.705
1134.73264N,12229.35746E,1,0.302,5.708
1134.73264N,12229.35746E,1,0.302,5.704
1134.73264N,12229.35746E,1,0.304,5.708
1134.73264N,12229.35746E,1,0.306,5.704
1134.73264N,12229.35746E,1,0.307,5.703
1134.73264N,12229.35746E,1,0.31,5.705
1134.73264N,12229.35746E,1,0.311,5.705
1134.73264N,12229.35746E,1,0.311,5.707
1134.73264N,12229.35746E,1,0.314,5.707
1134.73264N,12229.35746E,1,0.314,5.709
1134.73264N,12229.35746E,1,0.316,5.71
1134.73264N,12229.35746E,1,0.319,5.708
1134.73264N,12229.35746E,1,0.32,5.709
1134.73264N,12229.35746E,1,0.324,5.707
1134.73264N,12229.35746E,1,0.327,5.705
1134.73264N,12229.35746E,1,0.328,5.712
1134.73264N,12229.35746E,1,0.331,5.711
1134.73264N,12229.35746E,1,0.333,5.708
1134.73264N,12229.35746E,1,0.334,5.71
1134.73264N,12229.35746E,1,0.336,5.708
1134.73264N,12229.35746E,1,0.336,5.708
1134.73264N,12229.35746E,1,0.338,5.707
1134.73264N,12229.35746E,1,0.337,5.707
1134.73264N,12229.35746E,1,0.338,5.708
1134.73264N,12229.35746E,1,0.339,5.708
1134.73264N,12229.35746E,1,0.337,5.703
1134.73264N,12229.35746E,1,0.338,5.707
1134.73264N,12229.35746E,1,0.337,5.704
1134.73264N,12229.35746E,1,0.336,5.705
1134.73264N,12229.35746E,1,0.336,5.71
1134.73264N,12229.35746E,1,0.335,5.712
1134.73264N,12229.35746E,1,0.336,5.717
1134.73264N,12229.35746E,1,0.338,5.71
1134.73264N,12229.35746E,1,0.339,5.708
1134.73264N,12229.35746E,1,0.341,5.709
1134.73264N,12229.35746E,1,0.344,5.707
1134.73264N,12229.35746E,1,0.344,5.709
1134.73264N,12229.35746E,1,0.346,5.708
1134.73264N,12229.35746E,1,0.346,5.708
1134.73264N,12229.35746E,1,0.348,5.714
1134.73264N,12229.35746E,1,0.349,5.713
1134.73264N,12229.35746E,1,0.349,5.717
1134.73264N,12229.35746E,1,0.351,5.715
1134.73264N,12229.35746E,1,0.352,5.708
1134.73264N,12229.35746E,1,0.352,5.71
1134.73264N,12229.35746E,1,0.355,5.713
1134.73264N,12229.35746E,1,0.357,5.71
1134.73264N,12229.35746E,1,0.359,5.711
1134.73264N,12229.35746E,1,0.359,5.711
1134.73264N,12229.35746E,1,0.362,5.713
1134.73264N,12229.35746E,1,0.363,5.713
1134.73264N,12229.35746E,1,0.366,5.709
1134.73264N,12229.35746E,1,0.368,5.708
1134.73264N,12229.35746E,1,0.37,5.712
1134.73264N,12229.35746E,1,0.374,5.714
1134.73264N,12229.35746E,1,0.376,5.71
1134.73264N,12229.35746E,1,0.378,5.713
1134.73264N,12229.35746E,1,0.38,5.708
1134.73264N,12229.35746E,1,0.38,5.709
1134.73264N,12229.35746E,1,0.381,5.711
1134.73264N,12229.35746E,1,0.383,5.71
1134.73264N,12229.35746E,1,0.381,5.708
1134.73264N,12229.35746E,1,0.384,5.707
1134.73264N,12229.35746E,1,0.385,5.71
1134.73264N,12229.35746E,1,0.386,5.711
1134.73264N,12229.35746E,1,0.388,5.71
1134.73264N,12229.35746E,1,0.39,5.707
1134.73264N,12229.35746E,1,0.392,5.709
1134.73264N,12229.35746E,1,0.396,5.704
1134.73264N,12229.35746E,1,0.398,5.705
1134.73264N,12229.35746E,1,0.401,5.706
1134.73264N,12229.35746E,1,0.404,5.705
1134.73264N,12229.35746E,1,0.405,5.714
1134.73264N,12229.35746E,1,0.406,5.714
1134.73264N,12229.35746E,1,0.407,5.711
1134.73264N,12229.35746E,1,0.409,5.711
1134.73264N,12229.35746E,1,0.412,5.706
1134.73264N,12229.35746E,1,0.415,5.709
1134.73264N,12229.35746E,1,0.418,5.713
1134.73264N,12229.35746E,1,0.422,5.709
1134.73264N,12229.35746E,1,0.424,5.707
1134.73264N,12229.35746E,1,0.426,5.712
1134.73264N,12229.35746E,1,0.428,5.714
1134.73264N,12229.35746E,1,0.429,5.711
1134.73264N,12229.35746E,1,0.428,5.712
1134.73264N,12229.35746E,1,0.427,5.711
1134.73264N,12229.35746E,1,0.428,5.708
1134.73264N,12229.35746E,1,0.429,5.707
1134.73264N,12229.35746E,1,0.429,5.71
1134.73264N,12229.35746E,1,0.429,5.713
1134.73264N,12229.35746E,1,0.431,5.713
1134.73264N,12229.35746E,1,0.434,5.716
1134.73264N,12229.35746E,1,0.438,5.717
1134.73264N,12229.35746E,1,0.44,5.713
1134.73264N,12229.35746E,1,0.444,5.716
1134.73264N,12229.35746E,1,0.449,5.718
