Latitude,Longitude,Comment,Turb. [FTU],Depth [m]
1134.73264,12229.35746,1,8.169,0.296
1134.73264,12229.35746,1,8.129,0.297
1134.73264,12229.35746,1,8.102,0.297
1134.73264,12229.35746,1,7.955,0.297
1134.73264,12229.35746,1,7.955,0.297
1134.73264,12229.35746,1,7.888,0.296
1134.73264,12229.35746,1,8.035,0.295
1134.73264,12229.35746,1,8.102,0.295
1134.73264,12229.35746,1,8.048,0.296
1134.73264,12229.35746,1,8.129,0.297
1134.73264,12229.35746,1,8.397,0.298
1134.73264,12229.35746,1,8.37,0.298
1134.73264,12229.35746,1,8.249,0.299
1134.73264,12229.35746,1,8.504,0.3
1134.73264,12229.35746,1,8.611,0.3
1134.73264,12229.35746,1,8.598,0.302
1134.73264,12229.35746,1,8.477,0.302
1134.73264,12229.35746,1,8.209,0.302
1134.73264,12229.35746,1,8.129,0.304
1134.73264,12229.35746,1,8.384,0.306
1134.73264,12229.35746,1,8.263,0.307
1134.73264,12229.35746,1,8.316,0.31
1134.73264,12229.35746,1,8.384,0.311
1134.73264,12229.35746,1,8.115,0.311
1134.73264,12229.35746,1,8.182,0.314
1134.73264,12229.35746,1,8.196,0.314
1134.73264,12229.35746,1,8.343,0.316
1134.73264,12229.35746,1,7.995,0.319
1134.73264,12229.35746,1,8.115,0.32
1134.73264,12229.35746,1,8.276,0.324
1134.73264,12229.35746,1,8.169,0.327
1134.73264,12229.35746,1,8.236,0.328
1134.73264,12229.35746,1,8.209,0.331
1134.73264,12229.35746,1,8.263,0.333
1134.73264,12229.35746,1,8.531,0.334
1134.73264,12229.35746,1,8.786,0.336
1134.73264,12229.35746,1,8.665,0.336
1134.73264,12229.35746,1,8.33,0.338
1134.73264,12229.35746,1,8.209,0.337
1134.73264,12229.35746,1,8.316,0.338
1134.73264,12229.35746,1,8.357,0.339
1134.73264,12229.35746,1,8.437,0.337
1134.73264,12229.35746,1,8.437,0.338
1134.73264,12229.35746,1,8.384,0.337
1134.73264,12229.35746,1,8.611,0.336
1134.73264,12229.35746,1,8.598,0.336
1134.73264,12229.35746,1,8.518,0.335
1134.73264,12229.35746,1,8.544,0.336
1134.73264,12229.35746,1,8.437,0.338
1134.73264,12229.35746,1,8.33,0.339
1134.73264,12229.35746,1,8.424,0.341
1134.73264,12229.35746,1,8.544,0.344
1134.73264,12229.35746,1,8.544,0.344
1134.73264,12229.35746,1,8.41,0.346
1134.73264,12229.35746,1,8.598,0.346
1134.73264,12229.35746,1,8.84,0.348
1134.73264,12229.35746,1,8.893,0.349
1134.73264,12229.35746,1,9.054,0.349
1134.73264,12229.35746,1,9.014,0.351
1134.73264,12229.35746,1,8.813,0.352
1134.73264,12229.35746,1,8.679,0.352
1134.73264,12229.35746,1,8.464,0.355
1134.73264,12229.35746,1,8.384,0.357
1134.73264,12229.35746,1,8.826,0.359
1134.73264,12229.35746,1,8.826,0.359
1134.73264,12229.35746,1,8.719,0.362
1134.73264,12229.35746,1,8.558,0.363
1134.73264,12229.35746,1,8.451,0.366
1134.73264,12229.35746,1,8.437,0.368
1134.73264,12229.35746,1,8.236,0.37
1134.73264,12229.35746,1,8.022,0.374
1134.73264,12229.35746,1,8.169,0.376
1134.73264,12229.35746,1,8.477,0.378
1134.73264,12229.35746,1,8.571,0.38
1134.73264,12229.35746,1,8.464,0.38
1134.73264,12229.35746,1,8.437,0.381
1134.73264,12229.35746,1,8.504,0.383
1134.73264,12229.35746,1,8.384,0.381
1134.73264,12229.35746,1,8.29,0.384
1134.73264,12229.35746,1,8.236,0.385
1134.73264,12229.35746,1,8.276,0.386
1134.73264,12229.35746,1,8.611,0.388
1134.73264,12229.35746,1,8.625,0.39
1134.73264,12229.35746,1,8.531,0.392
1134.73264,12229.35746,1,8.451,0.396
1134.73264,12229.35746,1,8.384,0.398
1134.73264,12229.35746,1,8.464,0.401
1134.73264,12229.35746,1,8.303,0.404
1134.73264,12229.35746,1,8.504,0.405
1134.73264,12229.35746,1,8.598,0.406
1134.73264,12229.35746,1,8.491,0.407
1134.73264,12229.35746,1,8.41,0.409
1134.73264,12229.35746,1,8.384,0.412
1134.73264,12229.35746,1,8.518,0.415
1134.73264,12229.35746,1,8.571,0.418
1134.73264,12229.35746,1,8.437,0.422
1134.73264,12229.35746,1,8.518,0.424
1134.73264,12229.35746,1,8.571,0.426
1134.73264,12229.35746,1,8.477,0.428
1134.73264,12229.35746,1,8.518,0.429
1134.73264,12229.35746,1,8.665,0.428
1134.73264,12229.35746,1,8.692,0.427
1134.73264,12229.35746,1,8.933,0.428
1134.73264,12229.35746,1,8.907,0.429
1134.73264,12229.35746,1,8.504,0.429
1134.73264,12229.35746,1,8.424,0.429
1134.73264,12229.35746,1,8.477,0.431
1134.73264,12229.35746,1,8.625,0.434
1134.73264,12229.35746,1,8.625,0.438
1134.73264,12229.35746,1,8.437,0.44
1134.73264,12229.35746,1,8.343,0.444
1134.73264,12229.35746,1,8.33,0.449
1134.73264,12229.35746,1,8.33,0.451
1134.73264,12229.35746,1,8.518,0.454
1134.73264,12229.35746,1,8.491,0.459
1134.73264,12229.35746,1,8.249,0.462
1134.73264,12229.35746,1,8.625,0.464
1134.73264,12229.35746,1,8.772,0.465
1134.73264,12229.35746,1,9.041,0.469
1134.73264,12229.35746,1,9.269,0.472
1134.73264,12229.35746,1,9.081,0.474
1134.73264,12229.35746,1,8.799,0.478
1134.73264,12229.35746,1,8.558,0.482
1134.73264,12229.35746,1,8.571,0.485
1134.73264,12229.35746,1,8.571,0.485
1134.73264,12229.35746,1,8.719,0.487
1134.73264,12229.35746,1,8.799,0.488
1134.73264,12229.35746,1,8.92,0.489
1134.73264,12229.35746,1,9.054,0.489
1134.73264,12229.35746,1,8.96,0.49
1134.73264,12229.35746,1,8.772,0.492
1134.73264,12229.35746,1,8.853,0.495
1134.73264,12229.35746,1,8.786,0.497
1134.73264,12229.35746,1,9.054,0.506
1134.73264,12229.35746,1,9.175,0.513
1134.73264,12229.35746,1,8.866,0.519
1134.73264,12229.35746,1,8.974,0.526
1134.73264,12229.35746,1,8.719,0.531
1134.73264,12229.35746,1,8.625,0.534
1134.73264,12229.35746,1,8.518,0.538
1134.73264,12229.35746,1,8.316,0.541
1134.73264,12229.35746,1,8.182,0.546
1134.73264,12229.35746,1,8.652,0.552
1134.73264,12229.35746,1,9.269,0.556
1134.73264,12229.35746,1,9.094,0.56
1134.73264,12229.35746,1,8.531,0.562
1134.73264,12229.35746,1,8.732,0.564
1134.73264,12229.35746,1,8.987,0.566
1134.73264,12229.35746,1,9.255,0.568
1134.73264,12229.35746,1,9.041,0.571
1134.73264,12229.35746,1,8.933,0.574
1134.73264,12229.35746,1,9.175,0.575
1134.73264,12229.35746,1,8.772,0.579
1134.73264,12229.35746,1,8.477,0.58
1134.73264,12229.35746,1,8.464,0.581
1134.73264,12229.35746,1,8.705,0.583
1134.73264,12229.35746,1,8.88,0.582
1134.73264,12229.35746,1,8.679,0.585
1134.73264,12229.35746,1,8.786,0.588
1134.73264,12229.35746,1,8.611,0.589
1134.73264,12229.35746,1,8.477,0.594
1134.73264,12229.35746,1,8.518,0.597
1134.73264,12229.35746,1,8.826,0.6
1134.73264,12229.35746,1,9.202,0.603
1134.73264,12229.35746,1,9.457,0.603
1134.73264,12229.35746,1,9.725,0.606
1134.73264,12229.35746,1,9.725,0.608
1134.73264,12229.35746,1,9.202,0.61
1134.73264,12229.35746,1,8.826,0.613
1134.73264,12229.35746,1,8.652,0.614
1134.73264,12229.35746,1,8.585,0.615
1134.73264,12229.35746,1,8.504,0.617
1134.73264,12229.35746,1,8.571,0.62
1134.73264,12229.35746,1,8.679,0.626
1134.73264,12229.35746,1,8.089,0.629
1134.73264,12229.35746,1,8.008,0.632
1134.73264,12229.35746,1,8.089,0.634
1134.73264,12229.35746,1,8.062,0.633
1134.73264,12229.35746,1,7.968,0.633
1134.73264,12229.35746,1,7.807,0.632
1134.73264,12229.35746,1,8.29,0.632
1134.73264,12229.35746,1,8.907,0.635
1134.73264,12229.35746,1,8.665,0.64
1134.73264,12229.35746,1,8.665,0.64
1134.73264,12229.35746,1,8.96,0.646
1134.73264,12229.35746,1,8.853,0.655
1134.73264,12229.35746,1,8.665,0.664
1134.73264,12229.35746,1,9.255,0.674
1134.73264,12229.35746,1,9.927,0.68
1134.73264,12229.35746,1,9.443,0.684
1134.73264,12229.35746,1,9.148,0.686
1134.73264,12229.35746,1,8.705,0.687
1134.73264,12229.35746,1,8.263,0.685
1134.73264,12229.35746,1,7.861,0.685
1134.73264,12229.35746,1,7.807,0.687
1134.73264,12229.35746,1,8.531,0.688
1134.73264,12229.35746,1,9.068,0.691
1134.73264,12229.35746,1,9.752,0.694
1134.73264,12229.35746,1,10.33,0.701
1134.73264,12229.35746,1,10.222,0.705
1134.73264,12229.35746,1,10.007,0.707
1134.73264,12229.35746,1,9.806,0.708
1134.73264,12229.35746,1,9.564,0.709
1134.73264,12229.35746,1,9.001,0.709
1134.73264,12229.35746,1,8.464,0.711
1134.73264,12229.35746,1,8.451,0.712
1134.73264,12229.35746,1,8.732,0.715
1134.73264,12229.35746,1,8.84,0.719
1134.73264,12229.35746,1,8.652,0.723
1134.73264,12229.35746,1,8.759,0.726
1134.73264,12229.35746,1,8.598,0.729
1134.73264,12229.35746,1,8.799,0.73
1134.73264,12229.35746,1,9.605,0.736
1134.73264,12229.35746,1,9.323,0.74
1134.73264,12229.35746,1,8.598,0.743
1134.73264,12229.35746,1,9.215,0.746
1134.73264,12229.35746,1,10.075,0.745
1134.73264,12229.35746,1,9.336,0.746
1134.73264,12229.35746,1,8.772,0.746
1134.73264,12229.35746,1,8.719,0.744
1134.73264,12229.35746,1,8.665,0.744
1134.73264,12229.35746,1,8.451,0.745
1134.73264,12229.35746,1,8.303,0.746
1134.73264,12229.35746,1,8.089,0.751
1134.73264,12229.35746,1,8.276,0.753
1134.73264,12229.35746,1,8.263,0.756
1134.73264,12229.35746,1,8.276,0.759
1134.73264,12229.35746,1,8.33,0.762
1134.73264,12229.35746,1,9.417,0.766
1134.73264,12229.35746,1,9.148,0.771
1134.73264,12229.35746,1,9.175,0.773
1134.73264,12229.35746,1,10.773,0.776
1134.73264,12229.35746,1,10.249,0.777
1134.73264,12229.35746,1,8.826,0.779
1134.73264,12229.35746,1,8.29,0.78
1134.73264,12229.35746,1,8.089,0.78
1134.73264,12229.35746,1,7.861,0.783
1134.73264,12229.35746,1,7.713,0.787
1134.73264,12229.35746,1,7.914,0.792
1134.73264,12229.35746,1,8.182,0.798
1134.73264,12229.35746,1,8.598,0.804
1134.73264,12229.35746,1,9.121,0.812
1134.73264,12229.35746,1,9.121,0.812
1134.73264,12229.35746,1,9.027,0.818
1134.73264,12229.35746,1,8.893,0.821
1134.73264,12229.35746,1,8.41,0.826
1134.73264,12229.35746,1,8.022,0.827
1134.73264,12229.35746,1,7.901,0.828
1134.73264,12229.35746,1,8.182,0.833
1134.73264,12229.35746,1,8.544,0.835
1134.73264,12229.35746,1,8.625,0.836
1134.73264,12229.35746,1,8.759,0.841
1134.73264,12229.35746,1,8.638,0.843
1134.73264,12229.35746,1,8.799,0.844
1134.73264,12229.35746,1,8.719,0.846
1134.73264,12229.35746,1,8.477,0.847
1134.73264,12229.35746,1,8.652,0.849
1134.73264,12229.35746,1,8.665,0.85
1134.73264,12229.35746,1,8.84,0.851
1134.73264,12229.35746,1,9.068,0.854
1134.73264,12229.35746,1,8.907,0.855
1134.73264,12229.35746,1,8.746,0.857
1134.73264,12229.35746,1,8.92,0.859
1134.73264,12229.35746,1,9.027,0.859
1134.73264,12229.35746,1,8.585,0.86
1134.73264,12229.35746,1,8.33,0.861
1134.73264,12229.35746,1,8.477,0.86
1134.73264,12229.35746,1,8.732,0.861
1134.73264,12229.35746,1,8.88,0.861
1134.73264,12229.35746,1,9.202,0.863
1134.73264,12229.35746,1,9.175,0.866
1134.73264,12229.35746,1,9.578,0.869
1134.73264,12229.35746,1,9.833,0.872
1134.73264,12229.35746,1,9.913,0.876
1134.73264,12229.35746,1,9.779,0.878
1134.73264,12229.35746,1,9.014,0.884
1134.73264,12229.35746,1,8.772,0.891
1134.73264,12229.35746,1,8.987,0.898
1134.73264,12229.35746,1,9.967,0.905
1134.73264,12229.35746,1,9.913,0.912
1134.73264,12229.35746,1,10.504,0.918
1134.73264,12229.35746,1,9.739,0.925
1134.73264,12229.35746,1,9.376,0.928
1134.73264,12229.35746,1,9.269,0.934
1134.73264,12229.35746,1,9.967,0.94
1134.73264,12229.35746,1,10.263,0.945
1134.73264,12229.35746,1,9.954,0.95
1134.73264,12229.35746,1,9.296,0.952
1134.73264,12229.35746,1,9.041,0.953
1134.73264,12229.35746,1,9.913,0.953
1134.73264,12229.35746,1,10.155,0.953
1134.73264,12229.35746,1,10.263,0.953
1134.73264,12229.35746,1,10.195,0.953
1134.73264,12229.35746,1,10.612,0.953
1134.73264,12229.35746,1,10.8,0.956
1134.73264,12229.35746,1,10.572,0.959
1134.73264,12229.35746,1,10.222,0.964
1134.73264,12229.35746,1,9.793,0.971
1134.73264,12229.35746,1,9.752,0.975
1134.73264,12229.35746,1,10.155,0.982
1134.73264,12229.35746,1,10.088,0.985
1134.73264,12229.35746,1,9.913,0.985
1134.73264,12229.35746,1,9.913,0.985
1134.73264,12229.35746,1,9.806,0.987
1134.73264,12229.35746,1,10.088,0.984
1134.73264,12229.35746,1,9.819,0.984
1134.73264,12229.35746,1,9.806,0.986
1134.73264,12229.35746,1,9.591,0.989
1134.73264,12229.35746,1,10.894,0.994
1134.73264,12229.35746,1,10.558,0.999
1134.73264,12229.35746,1,10.236,1.005
1134.73264,12229.35746,1,10.599,1.013
1134.73264,12229.35746,1,10.679,1.02
1134.73264,12229.35746,1,10.625,1.028
1134.73264,12229.35746,1,10.625,1.04
1134.73264,12229.35746,1,11.446,1.05
1134.73264,12229.35746,1,11.796,1.058
1134.73264,12229.35746,1,12.294,1.062
1134.73264,12229.35746,1,11.917,1.06
1134.73264,12229.35746,1,12.253,1.06
1134.73264,12229.35746,1,12.482,1.058
1134.73264,12229.35746,1,12.873,1.056
1134.73264,12229.35746,1,13.007,1.056
1134.73264,12229.35746,1,12.213,1.055
1134.73264,12229.35746,1,11.594,1.056
1134.73264,12229.35746,1,11.069,1.058
1134.73264,12229.35746,1,11.15,1.058
1134.73264,12229.35746,1,11.903,1.059
1134.73264,12229.35746,1,12.603,1.062
1134.73264,12229.35746,1,12.994,1.064
1134.73264,12229.35746,1,14.356,1.064
1134.73264,12229.35746,1,13.965,1.065
1134.73264,12229.35746,1,13.978,1.067
1134.73264,12229.35746,1,13.52,1.068
1134.73264,12229.35746,1,13.156,1.069
1134.73264,12229.35746,1,13.304,1.072
1134.73264,12229.35746,1,13.129,1.074
1134.73264,12229.35746,1,13.088,1.074
1134.73264,12229.35746,1,13.911,1.075
1134.73264,12229.35746,1,13.911,1.076
1134.73264,12229.35746,1,13.965,1.077
1134.73264,12229.35746,1,14.234,1.076
1134.73264,12229.35746,1,15.152,1.078
1134.73264,12229.35746,1,14.68,1.081
1134.73264,12229.35746,1,14.504,1.084
1134.73264,12229.35746,1,14.045,1.086
1134.73264,12229.35746,1,14.612,1.09
1134.73264,12229.35746,1,14.734,1.09
1134.73264,12229.35746,1,14.612,1.092
1134.73264,12229.35746,1,13.938,1.092
1134.73264,12229.35746,1,14.261,1.095
1134.73264,12229.35746,1,14.234,1.099
1134.73264,12229.35746,1,15.058,1.104
1134.73264,12229.35746,1,15.017,1.109
1134.73264,12229.35746,1,15.125,1.113
1134.73264,12229.35746,1,15.625,1.118
1134.73264,12229.35746,1,16.747,1.121
1134.73264,12229.35746,1,16.733,1.123
1134.73264,12229.35746,1,16.057,1.123
1134.73264,12229.35746,1,16.111,1.125
1134.73264,12229.35746,1,16.652,1.127
1134.73264,12229.35746,1,16.652,1.127
1134.73264,12229.35746,1,16.544,1.13
1134.73264,12229.35746,1,16.287,1.135
1134.73264,12229.35746,1,16.747,1.141
1134.73264,12229.35746,1,18.29,1.147
1134.73264,12229.35746,1,20.216,1.151
1134.73264,12229.35746,1,21.697,1.153
1134.73264,12229.35746,1,23.112,1.155
1134.73264,12229.35746,1,24.379,1.155
1134.73264,12229.35746,1,26.043,1.153
1134.73264,12229.35746,1,26.343,1.152
1134.73264,12229.35746,1,25.784,1.15
1134.73264,12229.35746,1,25.306,1.149
1134.73264,12229.35746,1,25.593,1.15
1134.73264,12229.35746,1,26.398,1.15
1134.73264,12229.35746,1,27.259,1.154
1134.73264,12229.35746,1,28.792,1.16
1134.73264,12229.35746,1,29.655,1.163
1134.73264,12229.35746,1,30.559,1.165
1134.73264,12229.35746,1,30.806,1.166
1134.73264,12229.35746,1,30.752,1.165
1134.73264,12229.35746,1,30.532,1.164
1134.73264,12229.35746,1,30.738,1.164
1134.73264,12229.35746,1,31.52,1.163
1134.73264,12229.35746,1,31.3,1.164
1134.73264,12229.35746,1,30.23,1.164
1134.73264,12229.35746,1,30.944,1.166
1134.73264,12229.35746,1,31.63,1.167
1134.73264,12229.35746,1,33.114,1.167
1134.73264,12229.35746,1,35.744,1.17
1134.73264,12229.35746,1,37.317,1.173
1134.73264,12229.35746,1,38.464,1.176
1134.73264,12229.35746,1,42.12,1.181
1134.73264,12229.35746,1,46.987,1.186
1134.73264,12229.35746,1,57.832,1.19
1134.73264,12229.35746,1,67.665,1.195
1134.73264,12229.35746,1,68.802,1.194
1134.73264,12229.35746,1,64.769,1.193
1134.73264,12229.35746,1,58.381,1.192
1134.73264,12229.35746,1,52.97,1.189
1134.73264,12229.35746,1,49.108,1.19
1134.73264,12229.35746,1,46.151,1.187
1134.73264,12229.35746,1,45.038,1.186
1134.73264,12229.35746,1,45.469,1.184
1134.73264,12229.35746,1,45.734,1.184
1134.73264,12229.35746,1,47.378,1.184
1134.73264,12229.35746,1,49.765,1.184
1134.73264,12229.35746,1,52.62,1.183
1134.73264,12229.35746,1,56.27,1.183
1134.73264,12229.35746,1,58.536,1.181
1134.73264,12229.35746,1,59.368,1.181
1134.73264,12229.35746,1,58.48,1.18
1134.73264,12229.35746,1,57.156,1.177
1134.73264,12229.35746,1,56.453,1.177
1134.73264,12229.35746,1,56.045,1.175
1134.73264,12229.35746,1,52.816,1.175
1134.73264,12229.35746,1,51.793,1.176
1134.73264,12229.35746,1,52.746,1.176
1134.73264,12229.35746,1,54.289,1.179
1134.73264,12229.35746,1,56.875,1.18
1134.73264,12229.35746,1,56.875,1.18
1134.73264,12229.35746,1,58.494,1.181
1134.73264,12229.35746,1,59.806,1.183
1134.73264,12229.35746,1,62.193,1.185
1134.73264,12229.35746,1,63.296,1.186
1134.73264,12229.35746,1,63.65,1.188
1134.73264,12229.35746,1,63.82,1.19
1134.73264,12229.35746,1,62.702,1.19
1134.73264,12229.35746,1,61.133,1.191
1134.73264,12229.35746,1,58.184,1.19
1134.73264,12229.35746,1,55.68,1.191
1134.73264,12229.35746,1,53.419,1.19
1134.73264,12229.35746,1,50.814,1.187
1134.73264,12229.35746,1,48.815,1.188
1134.73264,12229.35746,1,47.336,1.187
1134.73264,12229.35746,1,46.82,1.186
1134.73264,12229.35746,1,46.681,1.185
1134.73264,12229.35746,1,47.894,1.185
1134.73264,12229.35746,1,48.578,1.185
1134.73264,12229.35746,1,50.814,1.185
1134.73264,12229.35746,1,52.032,1.184
1134.73264,12229.35746,1,53.012,1.184
1134.73264,12229.35746,1,55.188,1.184
1134.73264,12229.35746,1,57.846,1.183
1134.73264,12229.35746,1,60.709,1.184
1134.73264,12229.35746,1,65.89,1.184
1134.73264,12229.35746,1,74.679,1.184
1134.73264,12229.35746,1,87.872,1.185
1134.73264,12229.35746,1,106.31,1.184
1134.73264,12229.35746,1,129.302,1.184
1134.73264,12229.35746,1,155.982,1.184
1134.73264,12229.35746,1,181.173,1.183
1134.73264,12229.35746,1,199.598,1.183
1134.73264,12229.35746,1,209.569,1.182
1134.73264,12229.35746,1,210.38,1.182
1134.73264,12229.35746,1,203.568,1.182
1134.73264,12229.35746,1,192.381,1.182
1134.73264,12229.35746,1,176.162,1.183
