Latitude,Longitude,Comment,G&G-DO,Depth [m]
1134.73264,12229.35746,1,5.701,0.275
1134.73264,12229.35746,1,5.697,0.275
1134.73264,12229.35746,1,5.699,0.276
1134.73264,12229.35746,1,5.698,0.278
1134.73264,12229.35746,1,5.703,0.278
1134.73264,12229.35746,1,5.703,0.28
1134.73264,12229.35746,1,5.701,0.281
1134.73264,12229.35746,1,5.7,0.283
1134.73264,12229.35746,1,5.699,0.285
1134.73264,12229.35746,1,5.699,0.287
1134.73264,12229.35746,1,5.699,0.288
1134.73264,12229.35746,1,5.699,0.291
1134.73264,12229.35746,1,5.702,0.291
1134.73264,12229.35746,1,5.702,0.294
1134.73264,12229.35746,1,5.696,0.296
1134.73264,12229.35746,1,5.701,0.296
1134.73264,12229.35746,1,5.7,0.297
1134.73264,12229.35746,1,5.7,0.297
1134.73264,12229.35746,1,5.706,0.297
1134.73264,12229.35746,1,5.706,0.297
1134.73264,12229.35746,1,5.703,0.296
1134.73264,12229.35746,1,5.704,0.295
1134.73264,12229.35746,1,5.706,0.295
1134.73264,12229.35746,1,5.702,0.296
1134.73264,12229.35746,1,5.704,0.297
1134.73264,12229.35746,1,5.701,0.298
1134.73264,12229.35746,1,5.701,0.298
1134.73264,12229.35746,1,5.705,0.299
1134.73264,12229.35746,1,5.703,0.3
1134.73264,12229.35746,1,5.703,0.3
1134.73264,12229.35746,1,5.705,0.302
1134.73264,12229.35746,1,5.708,0.302
1134.73264,12229.35746,1,5.704,0.302
1134.73264,12229.35746,1,5.708,0.304
1134.73264,12229.35746,1,5.704,0.306
1134.73264,12229.35746,1,5.703,0.307
1134.73264,12229.35746,1,5.705,0.31
1134.73264,12229.35746,1,5.705,0.311
1134.73264,12229.35746,1,5.707,0.311
1134.73264,12229.35746,1,5.707,0.314
1134.73264,12229.35746,1,5.709,0.314
1134.73264,12229.35746,1,5.71,0.316
1134.73264,12229.35746,1,5.708,0.319
1134.73264,12229.35746,1,5.709,0.32
1134.73264,12229.35746,1,5.707,0.324
1134.73264,12229.35746,1,5.705,0.327
1134.73264,12229.35746,1,5.712,0.328
1134.73264,12229.35746,1,5.711,0.331
1134.73264,12229.35746,1,5.708,0.333
1134.73264,12229.35746,1,5.71,0.334
1134.73264,12229.35746,1,5.708,0.336
1134.73264,12229.35746,1,5.708,0.336
1134.73264,12229.35746,1,5.707,0.338
1134.73264,12229.35746,1,5.707,0.337
1134.73264,12229.35746,1,5.708,0.338
1134.73264,12229.35746,1,5.708,0.339
1134.73264,12229.35746,1,5.703,0.337
1134.73264,12229.35746,1,5.707,0.338
1134.73264,12229.35746,1,5.704,0.337
1134.73264,12229.35746,1,5.705,0.336
1134.73264,12229.35746,1,5.71,0.336
1134.73264,12229.35746,1,5.712,0.335
1134.73264,12229.35746,1,5.717,0.336
1134.73264,12229.35746,1,5.71,0.338
1134.73264,12229.35746,1,5.708,0.339
1134.73264,12229.35746,1,5.709,0.341
1134.73264,12229.35746,1,5.707,0.344
1134.73264,12229.35746,1,5.709,0.344
1134.73264,12229.35746,1,5.708,0.346
1134.73264,12229.35746,1,5.708,0.346
1134.73264,12229.35746,1,5.714,0.348
1134.73264,12229.35746,1,5.713,0.349
1134.73264,12229.35746,1,5.717,0.349
1134.73264,12229.35746,1,5.715,0.351
1134.73264,12229.35746,1,5.708,0.352
1134.73264,12229.35746,1,5.71,0.352
1134.73264,12229.35746,1,5.713,0.355
1134.73264,12229.35746,1,5.71,0.357
1134.73264,12229.35746,1,5.711,0.359
1134.73264,12229.35746,1,5.711,0.359
1134.73264,12229.35746,1,5.713,0.362
1134.73264,12229.35746,1,5.713,0.363
1134.73264,12229.35746,1,5.709,0.366
1134.73264,12229.35746,1,5.708,0.368
1134.73264,12229.35746,1,5.712,0.37
1134.73264,12229.35746,1,5.714,0.374
1134.73264,12229.35746,1,5.71,0.376
1134.73264,12229.35746,1,5.713,0.378
1134.73264,12229.35746,1,5.708,0.38
1134.73264,12229.35746,1,5.709,0.38
1134.73264,12229.35746,1,5.711,0.381
1134.73264,12229.35746,1,5.71,0.383
1134.73264,12229.35746,1,5.708,0.381
1134.73264,12229.35746,1,5.707,0.384
1134.73264,12229.35746,1,5.71,0.385
1134.73264,12229.35746,1,5.711,0.386
1134.73264,12229.35746,1,5.71,0.388
1134.73264,12229.35746,1,5.707,0.39
1134.73264,12229.35746,1,5.709,0.392
1134.73264,12229.35746,1,5.704,0.396
1134.73264,12229.35746,1,5.705,0.398
1134.73264,12229.35746,1,5.706,0.401
1134.73264,12229.35746,1,5.705,0.404
1134.73264,12229.35746,1,5.714,0.405
1134.73264,12229.35746,1,5.714,0.406
1134.73264,12229.35746,1,5.711,0.407
1134.73264,12229.35746,1,5.711,0.409
1134.73264,12229.35746,1,5.706,0.412
1134.73264,12229.35746,1,5.709,0.415
1134.73264,12229.35746,1,5.713,0.418
1134.73264,12229.35746,1,5.709,0.422
1134.73264,12229.35746,1,5.707,0.424
1134.73264,12229.35746,1,5.712,0.426
1134.73264,12229.35746,1,5.714,0.428
1134.73264,12229.35746,1,5.711,0.429
1134.73264,12229.35746,1,5.712,0.428
1134.73264,12229.35746,1,5.711,0.427
1134.73264,12229.35746,1,5.708,0.428
1134.73264,12229.35746,1,5.707,0.429
1134.73264,12229.35746,1,5.71,0.429
1134.73264,12229.35746,1,5.713,0.429
1134.73264,12229.35746,1,5.713,0.431
1134.73264,12229.35746,1,5.716,0.434
1134.73264,12229.35746,1,5.717,0.438
1134.73264,12229.35746,1,5.713,0.44
1134.73264,12229.35746,1,5.716,0.444
1134.73264,12229.35746,1,5.718,0.449
1134.73264,12229.35746,1,5.72,0.451
1134.73264,12229.35746,1,5.72,0.454
1134.73264,12229.35746,1,5.719,0.459
1134.73264,12229.35746,1,5.718,0.462
1134.73264,12229.35746,1,5.712,0.464
1134.73264,12229.35746,1,5.716,0.465
1134.73264,12229.35746,1,5.717,0.469
1134.73264,12229.35746,1,5.715,0.472
1134.73264,12229.35746,1,5.713,0.474
1134.73264,12229.35746,1,5.713,0.478
1134.73264,12229.35746,1,5.708,0.482
1134.73264,12229.35746,1,5.713,0.485
1134.73264,12229.35746,1,5.713,0.485
1134.73264,12229.35746,1,5.71,0.487
1134.73264,12229.35746,1,5.712,0.488
1134.73264,12229.35746,1,5.716,0.489
1134.73264,12229.35746,1,5.712,0.489
1134.73264,12229.35746,1,5.713,0.49
1134.73264,12229.35746,1,5.717,0.492
1134.73264,12229.35746,1,5.714,0.495
1134.73264,12229.35746,1,5.712,0.497
1134.73264,12229.35746,1,5.712,0.506
1134.73264,12229.35746,1,5.715,0.513
1134.73264,12229.35746,1,5.721,0.519
1134.73264,12229.35746,1,5.714,0.526
1134.73264,12229.35746,1,5.709,0.531
1134.73264,12229.35746,1,5.716,0.534
1134.73264,12229.35746,1,5.714,0.538
1134.73264,12229.35746,1,5.713,0.541
1134.73264,12229.35746,1,5.712,0.546
1134.73264,12229.35746,1,5.711,0.552
1134.73264,12229.35746,1,5.714,0.556
1134.73264,12229.35746,1,5.711,0.56
1134.73264,12229.35746,1,5.711,0.562
1134.73264,12229.35746,1,5.713,0.564
1134.73264,12229.35746,1,5.714,0.566
1134.73264,12229.35746,1,5.716,0.568
1134.73264,12229.35746,1,5.716,0.571
1134.73264,12229.35746,1,5.709,0.574
1134.73264,12229.35746,1,5.707,0.575
1134.73264,12229.35746,1,5.71,0.579
1134.73264,12229.35746,1,5.707,0.58
1134.73264,12229.35746,1,5.705,0.581
1134.73264,12229.35746,1,5.707,0.583
1134.73264,12229.35746,1,5.703,0.582
1134.73264,12229.35746,1,5.706,0.585
1134.73264,12229.35746,1,5.707,0.588
1134.73264,12229.35746,1,5.707,0.589
1134.73264,12229.35746,1,5.71,0.594
1134.73264,12229.35746,1,5.709,0.597
1134.73264,12229.35746,1,5.707,0.6
1134.73264,12229.35746,1,5.704,0.603
1134.73264,12229.35746,1,5.709,0.603
1134.73264,12229.35746,1,5.718,0.606
