Latitude,Longitude,Comment,Sal.,Depth [m]
1134.73264,12229.35746,1,24.917,0.368
1134.73264,12229.35746,1,24.923,0.37
1134.73264,12229.35746,1,24.932,0.374
1134.73264,12229.35746,1,24.935,0.376
1134.73264,12229.35746,1,24.937,0.378
1134.73264,12229.35746,1,24.947,0.38
1134.73264,12229.35746,1,24.947,0.38
1134.73264,12229.35746,1,24.948,0.381
1134.73264,12229.35746,1,24.949,0.383
1134.73264,12229.35746,1,24.958,0.381
1134.73264,12229.35746,1,24.965,0.384
1134.73264,12229.35746,1,24.972,0.385
1134.73264,12229.35746,1,24.98,0.386
1134.73264,12229.35746,1,24.986,0.388
1134.73264,12229.35746,1,25.0,0.39
1134.73264,12229.35746,1,25.02,0.392
1134.73264,12229.35746,1,25.021,0.396
1134.73264,12229.35746,1,25.029,0.398
1134.73264,12229.35746,1,25.04,0.401
1134.73264,12229.35746,1,25.045,0.404
1134.73264,12229.35746,1,25.046,0.405
1134.73264,12229.35746,1,25.046,0.406
1134.73264,12229.35746,1,25.045,0.407
1134.73264,12229.35746,1,25.045,0.409
1134.73264,12229.35746,1,25.05,0.412
1134.73264,12229.35746,1,25.051,0.415
1134.73264,12229.35746,1,25.052,0.418
1134.73264,12229.35746,1,25.047,0.422
1134.73264,12229.35746,1,25.042,0.424
1134.73264,12229.35746,1,25.043,0.426
1134.73264,12229.35746,1,25.046,0.428
1134.73264,12229.35746,1,25.052,0.429
1134.73264,12229.35746,1,25.053,0.428
1134.73264,12229.35746,1,25.055,0.427
1134.73264,12229.35746,1,25.063,0.428
1134.73264,12229.35746,1,25.065,0.429
1134.73264,12229.35746,1,25.065,0.429
1134.73264,12229.35746,1,25.062,0.429
1134.73264,12229.35746,1,25.059,0.431
1134.73264,12229.35746,1,25.06,0.434
1134.73264,12229.35746,1,25.07,0.438
1134.73264,12229.35746,1,25.09,0.44
1134.73264,12229.35746,1,25.1,0.444
1134.73264,12229.35746,1,25.127,0.449
1134.73264,12229.35746,1,25.168,0.451
1134.73264,12229.35746,1,25.196,0.454
1134.73264,12229.35746,1,25.219,0.459
1134.73264,12229.35746,1,25.235,0.462
1134.73264,12229.35746,1,25.238,0.464
1134.73264,12229.35746,1,25.239,0.465
1134.73264,12229.35746,1,25.25,0.469
1134.73264,12229.35746,1,25.272,0.472
1134.73264,12229.35746,1,25.291,0.474
1134.73264,12229.35746,1,25.313,0.478
1134.73264,12229.35746,1,25.342,0.482
1134.73264,12229.35746,1,25.356,0.485
1134.73264,12229.35746,1,25.356,0.485
1134.73264,12229.35746,1,25.366,0.487
1134.73264,12229.35746,1,25.359,0.488
1134.73264,12229.35746,1,25.356,0.489
1134.73264,12229.35746,1,25.358,0.489
1134.73264,12229.35746,1,25.363,0.49
1134.73264,12229.35746,1,25.367,0.492
1134.73264,12229.35746,1,25.386,0.495
1134.73264,12229.35746,1,25.44,0.497
1134.73264,12229.35746,1,25.405,0.506
1134.73264,12229.35746,1,25.366,0.513
1134.73264,12229.35746,1,25.362,0.519
1134.73264,12229.35746,1,25.389,0.526
1134.73264,12229.35746,1,25.397,0.531
1134.73264,12229.35746,1,25.4,0.534
1134.73264,12229.35746,1,25.402,0.538
1134.73264,12229.35746,1,25.417,0.541
1134.73264,12229.35746,1,25.486,0.546
1134.73264,12229.35746,1,25.574,0.552
1134.73264,12229.35746,1,25.578,0.556
1134.73264,12229.35746,1,25.569,0.56
1134.73264,12229.35746,1,25.579,0.562
1134.73264,12229.35746,1,25.586,0.564
1134.73264,12229.35746,1,25.6,0.566
1134.73264,12229.35746,1,25.647,0.568
1134.73264,12229.35746,1,25.713,0.571
1134.73264,12229.35746,1,25.74,0.574
1134.73264,12229.35746,1,25.799,0.575
1134.73264,12229.35746,1,25.856,0.579
1134.73264,12229.35746,1,25.892,0.58
1134.73264,12229.35746,1,25.93,0.581
1134.73264,12229.35746,1,25.959,0.583
1134.73264,12229.35746,1,25.968,0.582
1134.73264,12229.35746,1,25.968,0.585
1134.73264,12229.35746,1,25.987,0.588
1134.73264,12229.35746,1,26.047,0.589
1134.73264,12229.35746,1,26.06,0.594
1134.73264,12229.35746,1,26.068,0.597
1134.73264,12229.35746,1,26.087,0.6
1134.73264,12229.35746,1,26.101,0.603
1134.73264,12229.35746,1,26.087,0.603
1134.73264,12229.35746,1,26.074,0.606
1134.73264,12229.35746,1,26.085,0.608
1134.73264,12229.35746,1,26.09,0.61
1134.73264,12229.35746,1,26.081,0.613
1134.73264,12229.35746,1,26.069,0.614
1134.73264,12229.35746,1,26.061,0.615
1134.73264,12229.35746,1,26.072,0.617
1134.73264,12229.35746,1,26.078,0.62
1134.73264,12229.35746,1,26.091,0.626
1134.73264,12229.35746,1,26.146,0.629
1134.73264,12229.35746,1,26.155,0.632
1134.73264,12229.35746,1,26.107,0.634
1134.73264,12229.35746,1,26.091,0.633
1134.73264,12229.35746,1,26.08,0.633
1134.73264,12229.35746,1,26.083,0.632
1134.73264,12229.35746,1,26.092,0.632
1134.73264,12229.35746,1,26.091,0.635
1134.73264,12229.35746,1,26.096,0.64
1134.73264,12229.35746,1,26.096,0.64
1134.73264,12229.35746,1,26.25,0.646
1134.73264,12229.35746,1,26.43,0.655
1134.73264,12229.35746,1,26.529,0.664
1134.73264,12229.35746,1,26.563,0.674
1134.73264,12229.35746,1,26.573,0.68
1134.73264,12229.35746,1,26.561,0.684
1134.73264,12229.35746,1,26.546,0.686
1134.73264,12229.35746,1,26.542,0.687
1134.73264,12229.35746,1,26.509,0.685
1134.73264,12229.35746,1,26.483,0.685
1134.73264,12229.35746,1,26.468,0.687
1134.73264,12229.35746,1,26.468,0.688
1134.73264,12229.35746,1,26.489,0.691
1134.73264,12229.35746,1,26.529,0.694
1134.73264,12229.35746,1,26.567,0.701
1134.73264,12229.35746,1,26.579,0.705
1134.73264,12229.35746,1,26.567,0.707
1134.73264,12229.35746,1,26.547,0.708
1134.73264,12229.35746,1,26.527,0.709
1134.73264,12229.35746,1,26.514,0.709
1134.73264,12229.35746,1,26.498,0.711
1134.73264,12229.35746,1,26.499,0.712
1134.73264,12229.35746,1,26.499,0.715
1134.73264,12229.35746,1,26.501,0.719
1134.73264,12229.35746,1,26.505,0.723
1134.73264,12229.35746,1,26.505,0.726
1134.73264,12229.35746,1,26.505,0.729
1134.73264,12229.35746,1,26.505,0.73
1134.73264,12229.35746,1,26.499,0.736
1134.73264,12229.35746,1,26.501,0.74
1134.73264,12229.35746,1,26.526,0.743
1134.73264,12229.35746,1,26.526,0.746
1134.73264,12229.35746,1,26.501,0.745
1134.73264,12229.35746,1,26.519,0.746
1134.73264,12229.35746,1,26.559,0.746
1134.73264,12229.35746,1,26.59,0.744
1134.73264,12229.35746,1,26.608,0.744
1134.73264,12229.35746,1,26.629,0.745
1134.73264,12229.35746,1,26.605,0.746
1134.73264,12229.35746,1,26.586,0.751
1134.73264,12229.35746,1,26.606,0.753
1134.73264,12229.35746,1,26.629,0.756
1134.73264,12229.35746,1,26.645,0.759
1134.73264,12229.35746,1,26.647,0.762
1134.73264,12229.35746,1,26.697,0.766
1134.73264,12229.35746,1,26.723,0.771
1134.73264,12229.35746,1,26.735,0.773
1134.73264,12229.35746,1,26.743,0.776
1134.73264,12229.35746,1,26.74,0.777
1134.73264,12229.35746,1,26.731,0.779
1134.73264,12229.35746,1,26.735,0.78
1134.73264,12229.35746,1,26.735,0.78
1134.73264,12229.35746,1,26.735,0.783
1134.73264,12229.35746,1,26.731,0.787
1134.73264,12229.35746,1,26.733,0.792
1134.73264,12229.35746,1,26.766,0.798
1134.73264,12229.35746,1,26.804,0.804
1134.73264,12229.35746,1,26.825,0.812
1134.73264,12229.35746,1,26.825,0.812
1134.73264,12229.35746,1,26.837,0.818
1134.73264,12229.35746,1,26.84,0.821
1134.73264,12229.35746,1,26.82,0.826
1134.73264,12229.35746,1,26.801,0.827
1134.73264,12229.35746,1,26.8,0.828
1134.73264,12229.35746,1,26.804,0.833
1134.73264,12229.35746,1,26.806,0.835
1134.73264,12229.35746,1,26.807,0.836
1134.73264,12229.35746,1,26.81,0.841
1134.73264,12229.35746,1,26.813,0.843
1134.73264,12229.35746,1,26.818,0.844
1134.73264,12229.35746,1,26.82,0.846
1134.73264,12229.35746,1,26.818,0.847
1134.73264,12229.35746,1,26.818,0.849
1134.73264,12229.35746,1,26.819,0.85
1134.73264,12229.35746,1,26.815,0.851
1134.73264,12229.35746,1,26.809,0.854
1134.73264,12229.35746,1,26.805,0.855
1134.73264,12229.35746,1,26.812,0.857
1134.73264,12229.35746,1,26.825,0.859
1134.73264,12229.35746,1,26.852,0.859
1134.73264,12229.35746,1,26.868,0.86
1134.73264,12229.35746,1,26.879,0.861
1134.73264,12229.35746,1,26.882,0.86
1134.73264,12229.35746,1,26.867,0.861
1134.73264,12229.35746,1,26.867,0.861
1134.73264,12229.35746,1,26.879,0.863
1134.73264,12229.35746,1,26.886,0.866
1134.73264,12229.35746,1,26.925,0.869
1134.73264,12229.35746,1,27.016,0.872
1134.73264,12229.35746,1,27.093,0.876
1134.73264,12229.35746,1,27.127,0.878
1134.73264,12229.35746,1,27.138,0.884
1134.73264,12229.35746,1,27.304,0.891
1134.73264,12229.35746,1,27.396,0.898
1134.73264,12229.35746,1,27.502,0.905
1134.73264,12229.35746,1,27.545,0.912
1134.73264,12229.35746,1,27.55,0.918
1134.73264,12229.35746,1,27.585,0.925
1134.73264,12229.35746,1,27.605,0.928
1134.73264,12229.35746,1,27.637,0.934
1134.73264,12229.35746,1,27.706,0.94
1134.73264,12229.35746,1,27.832,0.945
1134.73264,12229.35746,1,27.87,0.95
1134.73264,12229.35746,1,27.839,0.952
1134.73264,12229.35746,1,27.805,0.953
1134.73264,12229.35746,1,27.777,0.953
1134.73264,12229.35746,1,27.762,0.953
1134.73264,12229.35746,1,27.75,0.953
1134.73264,12229.35746,1,27.736,0.953
1134.73264,12229.35746,1,27.727,0.953
1134.73264,12229.35746,1,27.755,0.956
1134.73264,12229.35746,1,27.977,0.959
1134.73264,12229.35746,1,28.129,0.964
1134.73264,12229.35746,1,28.308,0.971
1134.73264,12229.35746,1,28.544,0.975
1134.73264,12229.35746,1,28.758,0.982
1134.73264,12229.35746,1,28.779,0.985
1134.73264,12229.35746,1,28.759,0.985
1134.73264,12229.35746,1,28.759,0.985
1134.73264,12229.35746,1,28.772,0.987
1134.73264,12229.35746,1,28.754,0.984
1134.73264,12229.35746,1,28.725,0.984
1134.73264,12229.35746,1,28.739,0.986
1134.73264,12229.35746,1,28.746,0.989
1134.73264,12229.35746,1,29.12,0.994
1134.73264,12229.35746,1,29.372,0.999
1134.73264,12229.35746,1,29.525,1.005
1134.73264,12229.35746,1,29.64,1.013
1134.73264,12229.35746,1,29.655,1.02
1134.73264,12229.35746,1,29.653,1.028
1134.73264,12229.35746,1,29.718,1.04
1134.73264,12229.35746,1,29.843,1.05
1134.73264,12229.35746,1,29.939,1.058
1134.73264,12229.35746,1,29.86,1.062
1134.73264,12229.35746,1,29.633,1.06
1134.73264,12229.35746,1,29.523,1.06
1134.73264,12229.35746,1,29.513,1.058
1134.73264,12229.35746,1,29.488,1.056
1134.73264,12229.35746,1,29.478,1.056
1134.73264,12229.35746,1,29.504,1.055
1134.73264,12229.35746,1,29.512,1.056
1134.73264,12229.35746,1,29.523,1.058
1134.73264,12229.35746,1,29.542,1.058
1134.73264,12229.35746,1,29.58,1.059
1134.73264,12229.35746,1,29.632,1.062
1134.73264,12229.35746,1,29.66,1.064
1134.73264,12229.35746,1,29.698,1.064
1134.73264,12229.35746,1,29.742,1.065
1134.73264,12229.35746,1,29.819,1.067
1134.73264,12229.35746,1,29.907,1.068
1134.73264,12229.35746,1,30.029,1.069
1134.73264,12229.35746,1,30.137,1.072
1134.73264,12229.35746,1,30.152,1.074
1134.73264,12229.35746,1,30.191,1.074
1134.73264,12229.35746,1,30.241,1.075
1134.73264,12229.35746,1,30.235,1.076
1134.73264,12229.35746,1,30.206,1.077
1134.73264,12229.35746,1,30.189,1.076
1134.73264,12229.35746,1,30.218,1.078
1134.73264,12229.35746,1,30.268,1.081
1134.73264,12229.35746,1,30.34,1.084
1134.73264,12229.35746,1,30.358,1.086
1134.73264,12229.35746,1,30.355,1.09
1134.73264,12229.35746,1,30.355,1.09
1134.73264,12229.35746,1,30.356,1.092
1134.73264,12229.35746,1,30.358,1.092
1134.73264,12229.35746,1,30.38,1.095
1134.73264,12229.35746,1,30.424,1.099
1134.73264,12229.35746,1,30.463,1.104
1134.73264,12229.35746,1,30.467,1.109
1134.73264,12229.35746,1,30.476,1.113
1134.73264,12229.35746,1,30.487,1.118
1134.73264,12229.35746,1,30.491,1.121
1134.73264,12229.35746,1,30.496,1.123
1134.73264,12229.35746,1,30.505,1.123
1134.73264,12229.35746,1,30.503,1.125
1134.73264,12229.35746,1,30.493,1.127
1134.73264,12229.35746,1,30.493,1.127
1134.73264,12229.35746,1,30.497,1.13
1134.73264,12229.35746,1,30.526,1.135
1134.73264,12229.35746,1,30.554,1.141
1134.73264,12229.35746,1,30.557,1.147
1134.73264,12229.35746,1,30.562,1.151
1134.73264,12229.35746,1,30.569,1.153
1134.73264,12229.35746,1,30.562,1.155
1134.73264,12229.35746,1,30.556,1.155
1134.73264,12229.35746,1,30.554,1.153
1134.73264,12229.35746,1,30.555,1.152
1134.73264,12229.35746,1,30.555,1.15
1134.73264,12229.35746,1,30.551,1.149
1134.73264,12229.35746,1,30.547,1.15
1134.73264,12229.35746,1,30.547,1.15
1134.73264,12229.35746,1,30.558,1.154
1134.73264,12229.35746,1,30.577,1.16
1134.73264,12229.35746,1,30.582,1.163
1134.73264,12229.35746,1,30.576,1.165
1134.73264,12229.35746,1,30.57,1.166
1134.73264,12229.35746,1,30.566,1.165
1134.73264,12229.35746,1,30.562,1.164
1134.73264,12229.35746,1,30.557,1.164
1134.73264,12229.35746,1,30.554,1.163
1134.73264,12229.35746,1,30.551,1.164
1134.73264,12229.35746,1,30.554,1.164
1134.73264,12229.35746,1,30.56,1.166
1134.73264,12229.35746,1,30.571,1.167
1134.73264,12229.35746,1,30.575,1.167
1134.73264,12229.35746,1,30.577,1.17
1134.73264,12229.35746,1,30.576,1.173
1134.73264,12229.35746,1,30.575,1.176
1134.73264,12229.35746,1,30.579,1.181
1134.73264,12229.35746,1,30.592,1.186
1134.73264,12229.35746,1,30.597,1.19
1134.73264,12229.35746,1,30.589,1.195
1134.73264,12229.35746,1,30.583,1.194
1134.73264,12229.35746,1,30.578,1.193
1134.73264,12229.35746,1,30.576,1.192
1134.73264,12229.35746,1,30.575,1.189
1134.73264,12229.35746,1,30.574,1.19
1134.73264,12229.35746,1,30.574,1.187
1134.73264,12229.35746,1,30.578,1.186
1134.73264,12229.35746,1,30.585,1.184
1134.73264,12229.35746,1,30.587,1.184
1134.73264,12229.35746,1,30.585,1.184
1134.73264,12229.35746,1,30.586,1.184
1134.73264,12229.35746,1,30.586,1.183
1134.73264,12229.35746,1,30.584,1.183
1134.73264,12229.35746,1,30.584,1.181
1134.73264,12229.35746,1,30.581,1.181
1134.73264,12229.35746,1,30.578,1.18
1134.73264,12229.35746,1,30.576,1.177
1134.73264,12229.35746,1,30.575,1.177
1134.73264,12229.35746,1,30.575,1.175
1134.73264,12229.35746,1,30.574,1.175
1134.73264,12229.35746,1,30.575,1.176
1134.73264,12229.35746,1,30.576,1.176
1134.73264,12229.35746,1,30.577,1.179
1134.73264,12229.35746,1,30.577,1.18
1134.73264,12229.35746,1,30.577,1.18
1134.73264,12229.35746,1,30.578,1.181
1134.73264,12229.35746,1,30.578,1.183
1134.73264,12229.35746,1,30.577,1.185
1134.73264,12229.35746,1,30.578,1.186
1134.73264,12229.35746,1,30.579,1.188
1134.73264,12229.35746,1,30.578,1.19
1134.73264,12229.35746,1,30.578,1.19
1134.73264,12229.35746,1,30.576,1.191
1134.73264,12229.35746,1,30.574,1.19
1134.73264,12229.35746,1,30.573,1.191
1134.73264,12229.35746,1,30.575,1.19
1134.73264,12229.35746,1,30.575,1.187
1134.73264,12229.35746,1,30.575,1.188
1134.73264,12229.35746,1,30.576,1.187
1134.73264,12229.35746,1,30.578,1.186
1134.73264,12229.35746,1,30.581,1.185
1134.73264,12229.35746,1,30.584,1.185
1134.73264,12229.35746,1,30.586,1.185
1134.73264,12229.35746,1,30.587,1.185
1134.73264,12229.35746,1,30.59,1.184
1134.73264,12229.35746,1,30.591,1.184
1134.73264,12229.35746,1,30.593,1.184
1134.73264,12229.35746,1,30.594,1.183
1134.73264,12229.35746,1,30.595,1.184
1134.73264,12229.35746,1,30.598,1.184
1134.73264,12229.35746,1,30.598,1.184
1134.73264,12229.35746,1,30.599,1.185
1134.73264,12229.35746,1,30.599,1.184
1134.73264,12229.35746,1,30.598,1.184
1134.73264,12229.35746,1,30.599,1.184
1134.73264,12229.35746,1,30.599,1.183
1134.73264,12229.35746,1,30.599,1.183
1134.73264,12229.35746,1,30.597,1.182
1134.73264,12229.35746,1,30.597,1.182
1134.73264,12229.35746,1,30.596,1.182
1134.73264,12229.35746,1,30.594,1.182
1134.73264,12229.35746,1,30.593,1.183
